symbol,timestamp,open,high,low,close,volume
NSE:NIFTY24OCT24150CE,2024-10-25 09:15:00,369.15,369.15,336.1,336.55,3800
NSE:NIFTY24OCT24150CE,2024-10-25 09:16:00,335.4,342.35,333.5,339.5,3825
NSE:NIFTY24OCT24150CE,2024-10-25 09:17:00,339.5,353.85,333.25,349.15,6975
NSE:NIFTY24OCT24150CE,2024-10-25 09:18:00,348.65,361,344.3,358.65,8625
NSE:NIFTY24OCT24150CE,2024-10-25 09:19:00,356.3,356.3,344.65,346.25,8400
NSE:NIFTY24OCT24150CE,2024-10-25 09:20:00,341.75,345.1,335.1,338.55,5225
NSE:NIFTY24OCT24150CE,2024-10-25 09:21:00,340,343.05,337.25,340.9,2825
NSE:NIFTY24OCT24150CE,2024-10-25 09:22:00,335.75,341.35,330.2,331.05,1575
NSE:NIFTY24OCT24150CE,2024-10-25 09:23:00,328.95,342.85,328.95,336.45,2575
NSE:NIFTY24OCT24150CE,2024-10-25 09:24:00,329.55,330.7,323,323.2,4875
NSE:NIFTY24OCT24150CE,2024-10-25 09:25:00,327.65,341.95,327.65,335.5,5500
NSE:NIFTY24OCT24150CE,2024-10-25 09:26:00,338.55,345.45,338.4,339.25,4675
NSE:NIFTY24OCT24150CE,2024-10-25 09:27:00,340.2,350.2,333.8,344.3,5475
NSE:NIFTY24OCT24150CE,2024-10-25 09:28:00,341.1,345.7,337.75,343.2,1300
NSE:NIFTY24OCT24150CE,2024-10-25 09:29:00,343,351.2,343,349.8,2625
NSE:NIFTY24OCT24150CE,2024-10-25 09:30:00,348.2,350.45,338.7,341.4,18600
NSE:NIFTY24OCT24150CE,2024-10-25 09:31:00,338.15,338.15,312.5,319.4,10650
NSE:NIFTY24OCT24150CE,2024-10-25 09:32:00,321.5,330.15,316,328.15,5700
NSE:NIFTY24OCT24150CE,2024-10-25 09:33:00,328.8,335.8,323.85,323.85,3525
NSE:NIFTY24OCT24150CE,2024-10-25 09:34:00,323.4,328.6,319.25,321.05,6375
NSE:NIFTY24OCT24150CE,2024-10-25 09:35:00,321.05,322,310,320.35,8550
NSE:NIFTY24OCT24150CE,2024-10-25 09:36:00,322.1,326.25,315.85,316.2,2350
NSE:NIFTY24OCT24150CE,2024-10-25 09:37:00,312.75,315.75,304.2,305.2,7975
NSE:NIFTY24OCT24150CE,2024-10-25 09:38:00,305.2,307,297.7,304.45,8900
NSE:NIFTY24OCT24150CE,2024-10-25 09:39:00,303.45,303.45,290,292.1,6875
NSE:NIFTY24OCT24150CE,2024-10-25 09:40:00,291.75,296,286.15,287.95,10525
NSE:NIFTY24OCT24150CE,2024-10-25 09:41:00,286.8,295.4,285.5,290.5,7825
NSE:NIFTY24OCT24150CE,2024-10-25 09:42:00,291.8,292.9,286.5,291.15,3575
NSE:NIFTY24OCT24150CE,2024-10-25 09:43:00,288.8,291.35,275,275.65,9925
NSE:NIFTY24OCT24150CE,2024-10-25 09:44:00,275.85,286.35,275.8,286,7200
NSE:NIFTY24OCT24150CE,2024-10-25 09:45:00,284,302.05,279.1,300.55,14600
NSE:NIFTY24OCT24150CE,2024-10-25 09:46:00,297.85,299,282,283.3,6625
NSE:NIFTY24OCT24150CE,2024-10-25 09:47:00,284.25,287.35,276.65,278.9,7775
NSE:NIFTY24OCT24150CE,2024-10-25 09:48:00,279.25,282.05,269.8,277,11325
NSE:NIFTY24OCT24150CE,2024-10-25 09:49:00,278.5,279.8,266,267.05,10950
NSE:NIFTY24OCT24150CE,2024-10-25 09:50:00,269.55,270.65,260.75,262.8,31525
NSE:NIFTY24OCT24150CE,2024-10-25 09:51:00,261.65,277.7,257.45,270.7,24500
NSE:NIFTY24OCT24150CE,2024-10-25 09:52:00,271.6,271.6,260.9,263,9175
NSE:NIFTY24OCT24150CE,2024-10-25 09:53:00,262.5,262.5,251.9,253.95,16050
NSE:NIFTY24OCT24150CE,2024-10-25 09:54:00,255.05,260.75,251.5,253.7,8500
NSE:NIFTY24OCT24150CE,2024-10-25 09:55:00,252.5,254.35,247.5,253.95,13050
NSE:NIFTY24OCT24150CE,2024-10-25 09:56:00,254,258.5,249.4,251.45,9225
NSE:NIFTY24OCT24150CE,2024-10-25 09:57:00,254.3,258.15,245.1,246.6,10625
NSE:NIFTY24OCT24150CE,2024-10-25 09:58:00,244.65,245,230,231.15,35150
NSE:NIFTY24OCT24150CE,2024-10-25 09:59:00,230.85,239,230.5,230.5,17675
NSE:NIFTY24OCT24150CE,2024-10-25 10:00:00,230.3,237.5,229.8,230.3,16425
NSE:NIFTY24OCT24150CE,2024-10-25 10:01:00,230,239.95,226.1,232.65,14500
NSE:NIFTY24OCT24150CE,2024-10-25 10:02:00,231.95,235,229.8,233.3,5425
NSE:NIFTY24OCT24150CE,2024-10-25 10:03:00,232.75,238.9,232.5,236.25,7275
NSE:NIFTY24OCT24150CE,2024-10-25 10:04:00,235,239.5,233.1,235.75,10850
NSE:NIFTY24OCT24150CE,2024-10-25 10:05:00,235.75,246.9,235.3,243.45,26175
NSE:NIFTY24OCT24150CE,2024-10-25 10:06:00,243.45,243.75,233.35,235,12725
NSE:NIFTY24OCT24150CE,2024-10-25 10:07:00,234.3,235.9,228.45,228.85,11850
NSE:NIFTY24OCT24150CE,2024-10-25 10:08:00,229.05,234.5,225.9,228.15,17350
NSE:NIFTY24OCT24150CE,2024-10-25 10:09:00,228.65,229.1,221.85,222.55,16900
NSE:NIFTY24OCT24150CE,2024-10-25 10:10:00,223.6,227.55,222.1,222.1,11475
NSE:NIFTY24OCT24150CE,2024-10-25 10:11:00,220.5,225.65,216.85,221.35,27125
NSE:NIFTY24OCT24150CE,2024-10-25 10:12:00,222.25,230.1,221.85,226.85,18100
NSE:NIFTY24OCT24150CE,2024-10-25 10:13:00,227.7,227.7,221.35,221.85,12600
NSE:NIFTY24OCT24150CE,2024-10-25 10:14:00,221.5,225.3,218.7,220.1,13725
NSE:NIFTY24OCT24150CE,2024-10-25 10:15:00,221.75,222.4,215.65,216.95,21725
NSE:NIFTY24OCT24150CE,2024-10-25 10:16:00,216.65,223.75,216.25,222.2,20825
NSE:NIFTY24OCT24150CE,2024-10-25 10:17:00,221.5,224.35,220.6,221.65,22900
NSE:NIFTY24OCT24150CE,2024-10-25 10:18:00,222.3,224.65,218.2,223.4,16100
NSE:NIFTY24OCT24150CE,2024-10-25 10:19:00,224,226.5,217.1,218.65,14425
NSE:NIFTY24OCT24150CE,2024-10-25 10:20:00,218.25,228.3,218.25,221.6,14175
NSE:NIFTY24OCT24150CE,2024-10-25 10:21:00,222.3,232.05,221.65,227.35,31075
NSE:NIFTY24OCT24150CE,2024-10-25 10:22:00,227.35,230.6,224.1,227.2,13150
NSE:NIFTY24OCT24150CE,2024-10-25 10:23:00,226.4,232.85,226.4,229.35,14925
NSE:NIFTY24OCT24150CE,2024-10-25 10:24:00,229.2,230.7,219.15,219.95,14175
NSE:NIFTY24OCT24150CE,2024-10-25 10:25:00,219.6,224.4,212.35,214.25,14375
NSE:NIFTY24OCT24150CE,2024-10-25 10:26:00,215.2,216.45,206.4,209.55,27975
NSE:NIFTY24OCT24150CE,2024-10-25 10:27:00,208.6,211,204.95,206.3,17650
NSE:NIFTY24OCT24150CE,2024-10-25 10:28:00,205.35,205.35,199.7,200.2,35975
NSE:NIFTY24OCT24150CE,2024-10-25 10:29:00,200.55,201.8,196.4,196.85,29950
NSE:NIFTY24OCT24150CE,2024-10-25 10:30:00,197.6,201.2,194.55,199.45,28500
NSE:NIFTY24OCT24150CE,2024-10-25 10:31:00,199,205.75,199,203.4,41275
NSE:NIFTY24OCT24150CE,2024-10-25 10:32:00,203.1,207.15,201.8,207.15,24925
NSE:NIFTY24OCT24150CE,2024-10-25 10:33:00,206.55,210.8,204.6,208.1,31675
NSE:NIFTY24OCT24150CE,2024-10-25 10:34:00,207.35,208.05,201.3,202.6,22700
NSE:NIFTY24OCT24150CE,2024-10-25 10:35:00,203.7,207,203.1,206,17950
NSE:NIFTY24OCT24150CE,2024-10-25 10:36:00,205.9,210.25,202.4,203.85,22575
NSE:NIFTY24OCT24150CE,2024-10-25 10:37:00,203.85,205.55,199.15,199.9,19925
NSE:NIFTY24OCT24150CE,2024-10-25 10:38:00,199.05,200.75,197.1,198,19525
NSE:NIFTY24OCT24150CE,2024-10-25 10:39:00,198.5,202.05,196.5,197.8,38325
NSE:NIFTY24OCT24150CE,2024-10-25 10:40:00,197.8,198.75,196.7,197.15,18650
NSE:NIFTY24OCT24150CE,2024-10-25 10:41:00,197,197,187,187.55,68250
NSE:NIFTY24OCT24150CE,2024-10-25 10:42:00,186.85,190.65,186.2,189.15,37900
NSE:NIFTY24OCT24150CE,2024-10-25 10:43:00,189.15,191,188.75,190,33850
NSE:NIFTY24OCT24150CE,2024-10-25 10:44:00,189.7,191.65,188.5,189.75,28625
