symbol,timestamp,open,high,low,close,volume
NSE:NIFTY24OCT24100PE,2024-10-25 09:15:00,54.45,59,44.75,57.9,150725
NSE:NIFTY24OCT24100PE,2024-10-25 09:16:00,57.6,62.4,57.5,61.05,166375
NSE:NIFTY24OCT24100PE,2024-10-25 09:17:00,60.65,63.3,57.1,57.85,132375
NSE:NIFTY24OCT24100PE,2024-10-25 09:18:00,57.75,58.65,52.55,54.25,123325
NSE:NIFTY24OCT24100PE,2024-10-25 09:19:00,54.8,57.25,53.85,57,86200
NSE:NIFTY24OCT24100PE,2024-10-25 09:20:00,57.75,59,56.45,57.1,121600
NSE:NIFTY24OCT24100PE,2024-10-25 09:21:00,57.15,59.25,56.85,59.25,74200
NSE:NIFTY24OCT24100PE,2024-10-25 09:22:00,59.5,61.25,58.1,61.25,91575
NSE:NIFTY24OCT24100PE,2024-10-25 09:23:00,61.3,61.9,56.8,59,112575
NSE:NIFTY24OCT24100PE,2024-10-25 09:24:00,58.75,61.15,58.6,59.85,88625
NSE:NIFTY24OCT24100PE,2024-10-25 09:25:00,59.95,59.95,55.75,56.45,196550
NSE:NIFTY24OCT24100PE,2024-10-25 09:26:00,55.5,56.15,53.55,55.45,137525
NSE:NIFTY24OCT24100PE,2024-10-25 09:27:00,55,56.35,49.2,51.5,117675
NSE:NIFTY24OCT24100PE,2024-10-25 09:28:00,51.5,52.7,49.95,50.7,89225
NSE:NIFTY24OCT24100PE,2024-10-25 09:29:00,50.2,50.85,47.8,48.45,105325
NSE:NIFTY24OCT24100PE,2024-10-25 09:30:00,49.1,51.9,48.15,51.7,79575
NSE:NIFTY24OCT24100PE,2024-10-25 09:31:00,51.1,59.7,51.1,57.15,228375
NSE:NIFTY24OCT24100PE,2024-10-25 09:32:00,58,60.5,55.25,56.1,146125
NSE:NIFTY24OCT24100PE,2024-10-25 09:33:00,56.4,56.85,52.45,56.85,93950
NSE:NIFTY24OCT24100PE,2024-10-25 09:34:00,56.55,61,56,59.4,110700
NSE:NIFTY24OCT24100PE,2024-10-25 09:35:00,59.7,65,57.9,59.05,163500
NSE:NIFTY24OCT24100PE,2024-10-25 09:36:00,58.35,62.25,56,61,124075
NSE:NIFTY24OCT24100PE,2024-10-25 09:37:00,62.2,69.1,62.1,68,231625
NSE:NIFTY24OCT24100PE,2024-10-25 09:38:00,67.4,72.45,67.05,69.9,242175
NSE:NIFTY24OCT24100PE,2024-10-25 09:39:00,70.2,77.85,70.2,76,236850
NSE:NIFTY24OCT24100PE,2024-10-25 09:40:00,77.2,84.5,76.3,79.5,427925
NSE:NIFTY24OCT24100PE,2024-10-25 09:41:00,80.4,81.45,72.65,75.95,146525
NSE:NIFTY24OCT24100PE,2024-10-25 09:42:00,75.2,78.8,74.55,76.75,103750
NSE:NIFTY24OCT24100PE,2024-10-25 09:43:00,77.15,86.85,76.1,86.85,232525
NSE:NIFTY24OCT24100PE,2024-10-25 09:44:00,86.8,87.65,79.05,79.5,181025
NSE:NIFTY24OCT24100PE,2024-10-25 09:45:00,80.1,84,71.3,72.55,227650
NSE:NIFTY24OCT24100PE,2024-10-25 09:46:00,72.95,80.75,72.95,80.7,135700
NSE:NIFTY24OCT24100PE,2024-10-25 09:47:00,80.3,86,79.7,84.65,192300
NSE:NIFTY24OCT24100PE,2024-10-25 09:48:00,84.55,92,82.6,86.15,223000
NSE:NIFTY24OCT24100PE,2024-10-25 09:49:00,84.6,92.2,84.6,89.9,171075
NSE:NIFTY24OCT24100PE,2024-10-25 09:50:00,91.75,101.2,89.2,98.55,327825
NSE:NIFTY24OCT24100PE,2024-10-25 09:51:00,100.15,104.35,86,89.55,300925
NSE:NIFTY24OCT24100PE,2024-10-25 09:52:00,89.45,97.95,89.45,96.4,207300
NSE:NIFTY24OCT24100PE,2024-10-25 09:53:00,97.35,102.65,96.6,100.3,241900
NSE:NIFTY24OCT24100PE,2024-10-25 09:54:00,100.4,101.8,94.4,99.25,177375
NSE:NIFTY24OCT24100PE,2024-10-25 09:55:00,100.7,101.75,95.2,95.9,210600
NSE:NIFTY24OCT24100PE,2024-10-25 09:56:00,95.95,99.95,91.3,97.1,188250
NSE:NIFTY24OCT24100PE,2024-10-25 09:57:00,96.65,99.95,94.15,99.4,149525
NSE:NIFTY24OCT24100PE,2024-10-25 09:58:00,99.95,111.6,99.95,111.2,502050
NSE:NIFTY24OCT24100PE,2024-10-25 09:59:00,109.8,109.8,104.5,108.45,257700
NSE:NIFTY24OCT24100PE,2024-10-25 10:00:00,107.3,108.45,101.65,107.2,203775
NSE:NIFTY24OCT24100PE,2024-10-25 10:01:00,106.9,110.2,102.45,107.1,252825
NSE:NIFTY24OCT24100PE,2024-10-25 10:02:00,107.65,109.7,105.1,105.95,161050
NSE:NIFTY24OCT24100PE,2024-10-25 10:03:00,106.4,107.45,102,103.45,133375
NSE:NIFTY24OCT24100PE,2024-10-25 10:04:00,104.35,105.95,100.45,102.05,142675
NSE:NIFTY24OCT24100PE,2024-10-25 10:05:00,102.6,102.6,90,94.1,210200
NSE:NIFTY24OCT24100PE,2024-10-25 10:06:00,94.3,104,94.3,103.8,154900
NSE:NIFTY24OCT24100PE,2024-10-25 10:07:00,103,108.05,101.95,107.05,200950
NSE:NIFTY24OCT24100PE,2024-10-25 10:08:00,107.4,109.05,101.75,108.2,164450
NSE:NIFTY24OCT24100PE,2024-10-25 10:09:00,108.6,110,105.55,108.95,155675
NSE:NIFTY24OCT24100PE,2024-10-25 10:10:00,107.85,108.35,102.4,107.45,142125
