symbol,timestamp,open,high,low,close,volume
NSE:NIFTY24OCT24150PE,2024-10-25 09:15:00,55,69.5,55,68.1,86700
NSE:NIFTY24OCT24150PE,2024-10-25 09:16:00,68.15,73.8,67.35,70.8,114450
NSE:NIFTY24OCT24150PE,2024-10-25 09:17:00,71.95,74.2,66.9,67.45,77100
NSE:NIFTY24OCT24150PE,2024-10-25 09:18:00,68,68.9,62.4,63.65,71775
NSE:NIFTY24OCT24150PE,2024-10-25 09:19:00,64.35,67.55,63.5,66.6,62375
NSE:NIFTY24OCT24150PE,2024-10-25 09:20:00,67.5,69.25,66.7,67.6,68050
NSE:NIFTY24OCT24150PE,2024-10-25 09:21:00,67.35,69.7,67.1,69.7,30650
NSE:NIFTY24OCT24150PE,2024-10-25 09:22:00,70.2,72.45,68.5,72.45,51425
NSE:NIFTY24OCT24150PE,2024-10-25 09:23:00,71.9,72.95,66.9,69,49150
NSE:NIFTY24OCT24150PE,2024-10-25 09:24:00,69.35,72,69.05,70.7,55625
NSE:NIFTY24OCT24150PE,2024-10-25 09:25:00,70.6,70.6,65.6,66.45,73200
NSE:NIFTY24OCT24150PE,2024-10-25 09:26:00,65.8,66.3,63.3,65.65,41575
NSE:NIFTY24OCT24150PE,2024-10-25 09:27:00,65.2,66.5,58.35,60.95,65825
NSE:NIFTY24OCT24150PE,2024-10-25 09:28:00,61.15,62.8,59.5,60.25,49325
NSE:NIFTY24OCT24150PE,2024-10-25 09:29:00,59.95,60.6,57.15,57.85,48225
NSE:NIFTY24OCT24150PE,2024-10-25 09:30:00,58.45,61.45,57.25,61,70075
NSE:NIFTY24OCT24150PE,2024-10-25 09:31:00,61.15,71.2,61.15,67.75,130725
NSE:NIFTY24OCT24150PE,2024-10-25 09:32:00,68.5,71.15,65.5,65.85,83275
NSE:NIFTY24OCT24150PE,2024-10-25 09:33:00,66.5,67.05,62.2,67.05,53600
NSE:NIFTY24OCT24150PE,2024-10-25 09:34:00,67,71.8,66.8,70.65,70000
NSE:NIFTY24OCT24150PE,2024-10-25 09:35:00,71.15,76.45,68.85,69.45,123800
NSE:NIFTY24OCT24150PE,2024-10-25 09:36:00,69.05,73.25,66.65,72.8,94500
NSE:NIFTY24OCT24150PE,2024-10-25 09:37:00,74.15,81.2,73.3,79.45,150775
NSE:NIFTY24OCT24150PE,2024-10-25 09:38:00,79.1,84.8,78.85,81.45,187725
NSE:NIFTY24OCT24150PE,2024-10-25 09:39:00,82.25,90.65,82.25,88.95,148625
NSE:NIFTY24OCT24150PE,2024-10-25 09:40:00,91.25,98,89.45,92.6,245275
NSE:NIFTY24OCT24150PE,2024-10-25 09:41:00,94.35,94.7,85.1,88.25,143250
NSE:NIFTY24OCT24150PE,2024-10-25 09:42:00,87.1,92.15,87.1,91.45,68950
NSE:NIFTY24OCT24150PE,2024-10-25 09:43:00,90.2,103.7,88.9,100.9,241975
NSE:NIFTY24OCT24150PE,2024-10-25 09:44:00,100.65,100.7,92.15,92.8,127200
NSE:NIFTY24OCT24150PE,2024-10-25 09:45:00,93.05,97.75,83.4,84.55,215775
NSE:NIFTY24OCT24150PE,2024-10-25 09:46:00,86.65,94.35,85.55,93.75,106075
NSE:NIFTY24OCT24150PE,2024-10-25 09:47:00,93.65,99.6,93.15,98.25,170850
NSE:NIFTY24OCT24150PE,2024-10-25 09:48:00,97.5,105.1,96.45,100,146275
NSE:NIFTY24OCT24150PE,2024-10-25 09:49:00,98.6,106.8,98.6,105.25,138000
NSE:NIFTY24OCT24150PE,2024-10-25 09:50:00,105.5,116.45,103.3,113.1,368075
NSE:NIFTY24OCT24150PE,2024-10-25 09:51:00,114.8,120.75,98.7,103.95,248225
NSE:NIFTY24OCT24150PE,2024-10-25 09:52:00,103.6,112.9,103.6,111.8,149400
NSE:NIFTY24OCT24150PE,2024-10-25 09:53:00,111.65,118.7,111.65,116.05,128025
NSE:NIFTY24OCT24150PE,2024-10-25 09:54:00,115.4,117.45,109.05,114.55,119925
